corruption,size_bin,class_name,mean_AP50_95_over_severity,clean_AP50_95,absolute_drop,rPC_corruption,severity_conditions
glass_blur,ALL,hat,0.4202737969198999,0.7125204886571556,0.29224669173725565,0.5898409991156389,5
glass_blur,ALL,person,0.15353315635635445,0.5013843739555969,0.3478512175992424,0.3062184709608671,5
glass_blur,ES,all_macro,0.050204697944701546,0.3141471092881632,0.26394241134346164,0.15981270067536865,5
glass_blur,ES,hat,0.012016701405057117,0.22565674694100948,0.21364004553595237,0.05325212548685056,5
glass_blur,ES,person,0.088392694484346,0.40263747163531693,0.31424477715097093,0.21953419815929703,5
glass_blur,S,all_macro,0.16806186632966524,0.5541587548627844,0.3860968885331192,0.30327386304900866,5
glass_blur,S,hat,0.20106556292816843,0.5744331893389237,0.37336762641075527,0.35002427899328237,5
glass_blur,S,person,0.13505816973116208,0.5338843203866451,0.39882615065548305,0.25297272194349407,5
glass_blur,M,all_macro,0.37441800909225736,0.6939112923987594,0.319493283306502,0.5395761867456342,5
glass_blur,L,all_macro,0.5880825370827075,0.8156218251468484,0.22753928806414092,0.7210235417337273,5
motion_blur,ALL,all_macro,0.2592938635578375,0.6069524313063762,0.3476585677485387,0.42720623591497187,5
motion_blur,ALL,hat,0.3915556273767093,0.7125204886571556,0.32096486128044627,0.5495359552602489,5
motion_blur,ALL,person,0.1270320997389657,0.5013843739555969,0.3743522742166312,0.2533627020259227,5
motion_blur,ES,all_macro,0.035220873983358686,0.3141471092881632,0.27892623530480454,0.11211586209775058,5
motion_blur,ES,hat,0.01271493634963575,0.22565674694100948,0.21294181059137374,0.056346360221880054,5
motion_blur,ES,person,0.05772681161708162,0.40263747163531693,0.34491066001823534,0.14337168218006008,5
motion_blur,S,all_macro,0.14755157143389375,0.5541587548627844,0.4066071834288907,0.2662622761782931,5
motion_blur,S,hat,0.16980447870397566,0.5744331893389237,0.4046287106349481,0.29560353032420034,5
motion_blur,S,person,0.12529866416381183,0.5338843203866451,0.40858565622283327,0.23469253427984008,5
