corruption,severity,size_bin,class_name,AP50,AP50_95,R50_max,R50_at_conf_025,clean_AP50_95,absolute_drop_AP50_95,retention_ratio
contrast,1,ES,all_macro,0.29057973398589776,0.0984456686470183,0.5885088927671037,0.2166736175817173,0.3141471092881632,0.21570144064114488,0.31337442152528394
contrast,1,ES,hat,0.13029344624007982,0.04549102882312054,0.4835680751173709,0.12206572769953052,0.22565674694100948,0.18016571811788895,0.20159392280441174
contrast,1,ES,person,0.45086602173171564,0.15140030847091607,0.6934497104168366,0.3112815074639041,0.40263747163531693,0.25123716316440087,0.37602140669123985
contrast,1,S,all_macro,0.6768375118096284,0.35439476651056434,0.890196006002745,0.5984613960476588,0.5541587548627844,0.1997639883522201,0.6395184834683632
contrast,1,S,hat,0.6721638151607128,0.40179712922267397,0.9093406593406593,0.6263736263736264,0.5744331893389237,0.17263606011624977,0.699467121119995
contrast,1,S,person,0.681511208458544,0.30699240379845477,0.8710513526648307,0.5705491657216912,0.5338843203866451,0.22689191658819036,0.5750167069452936
contrast,1,M,all_macro,0.8893445303834167,0.5948404654523676,0.9485382448016775,0.8197709430618307,0.6939112923987594,0.0990708269463918,0.8572283978778943
contrast,1,L,all_macro,0.9362882028145109,0.7415732970953937,0.9410656867248507,0.8176573265962334,0.8156218251468484,0.07404852805145479,0.9092121792619726
contrast,2,ALL,all_macro,0.6528643713253269,0.4127461304907683,0.7996529311118583,0.524251082123554,0.6069524313063762,0.1942063008156079,0.6800304425873914
contrast,2,ALL,hat,0.7594766085693212,0.5761521900896416,0.8700745473908413,0.6869009584664537,0.7125204886571556,0.13636829856751398,0.8086114003198432
contrast,2,ALL,person,0.5462521340813327,0.249340070891895,0.7292313148328753,0.3616012057806543,0.5013843739555969,0.25204430306370185,0.4973032344920602
contrast,2,ES,all_macro,0.2456154352023041,0.08150539716293272,0.5100414871971038,0.1325363333712474,0.3141471092881632,0.2326417121252305,0.2594497760861738
contrast,2,ES,hat,0.10158427371016573,0.03228223507596206,0.4084507042253521,0.0892018779342723,0.22565674694100948,0.19337451186504742,0.14305902887273825
contrast,2,ES,person,0.3896465966944425,0.13072855924990337,0.6116322701688556,0.17587078880822252,0.40263747163531693,0.2719089123854136,0.3246805587143883
contrast,2,S,all_macro,0.606484283056312,0.317030572116482,0.8537093475130086,0.5253027185029453,0.5541587548627844,0.23712818274630243,0.5720934106598787
