corruption,severity,size_bin,class_id,class_name,gt_count,AP50,AP50_95,R50_max,R50_at_conf_025,eval_predictions_at_iou50,ignored_predictions_at_iou50
impulse_noise,2,ALL,0,hat,1878,0.20653041220300922,0.13629716317418614,0.5170394036208733,0.20873269435569755,131899,0
impulse_noise,2,ALL,1,person,22558,0.04632971790383352,0.01569265484954716,0.048231226172533025,0.007713449773916127,16260,0
impulse_noise,2,ES,0,hat,213,0.015348796462043315,0.007920753178673821,0.27230046948356806,0.051643192488262914,123128,8771
impulse_noise,2,ES,1,person,12259,0.04760475169812334,0.013313261092527692,0.07447589526062484,0.012643771922669059,15796,464
impulse_noise,2,S,0,hat,364,0.27422780432810256,0.1452859150549418,0.45879120879120877,0.21978021978021978,4853,127046
impulse_noise,2,S,1,person,6173,0.13250923982098534,0.05782447935510974,0.012959663048760733,0.0017819536692046008,319,15941
impulse_noise,2,M,0,hat,679,0.4210503996713004,0.2570410408638557,0.5257731958762887,0.23564064801178203,2173,129726
impulse_noise,2,M,1,person,3776,0.3489040221225017,0.21611103174696827,0.023305084745762712,0.001853813559322034,131,16129
impulse_noise,2,L,0,hat,622,0.5039190770197548,0.3428924710076223,0.6254019292604501,0.2266881028938907,1717,130182
impulse_noise,2,L,1,person,350,0.3983333333333333,0.25937552167773253,0.02,0.002857142857142857,9,16251
impulse_noise,2,ALL,all,all_macro,24436,0.12643006505342136,0.07599490901186665,0.2826353148967032,0.10822307206480684,148159,0
impulse_noise,2,ES,all,all_macro,12472,0.03147677408008333,0.010617007135600758,0.17338818237209647,0.032143482205465986,138924,9235
impulse_noise,2,S,all,all_macro,6537,0.20336852207454395,0.10155519720502576,0.23587543591998475,0.1107810867247122,5172,142987
impulse_noise,2,M,all,all_macro,4455,0.38497721089690107,0.236576036305412,0.2745391403110257,0.11874723078555204,2304,145855
impulse_noise,2,L,all,all_macro,972,0.45112620517654406,0.30113399634267746,0.3227009646302251,0.11477262287551677,1726,146433
impulse_noise,3,ALL,0,hat,1878,0.06953559208030657,0.043569428808327273,0.2832800851970181,0.06869009584664537,83311,0
impulse_noise,3,ALL,1,person,22558,0.03644454355985785,0.0110398705693913,0.012102136714247718,0.0003989715400301445,4448,0
impulse_noise,3,ES,0,hat,213,0.0002225230701735412,0.00010048726431737273,0.11267605633802817,0.0,77448,5863
impulse_noise,3,ES,1,person,12259,0.0367649648323644,0.010799672937397748,0.021372053185414797,0.0007341544987356228,4409,39
impulse_noise,3,S,0,hat,364,0.1623278896188812,0.08349000899576066,0.2554945054945055,0.09615384615384616,2964,80347
impulse_noise,3,S,1,person,6173,0.1050134335702264,0.04224706628758503,0.000971974728657055,0.0,29,4419
impulse_noise,3,M,0,hat,679,0.24851029787608814,0.14322453282602518,0.28424153166421207,0.08394698085419734,1203,82108
impulse_noise,3,M,1,person,3776,0.22523329798515376,0.12962976852610458,0.001059322033898305,0.0,9,4439
impulse_noise,3,L,0,hat,622,0.2447839432076741,0.1558570211931736,0.35691318327974275,0.0594855305466238,1672,81639
impulse_noise,3,L,1,person,350,0.5014183381088826,0.15042550143266478,0.002857142857142857,0.0,1,4447
impulse_noise,3,ALL,all,all_macro,24436,0.05299006782008221,0.027304649688859286,0.1476911109556329,0.03454453369333776,87759,0
impulse_noise,3,ES,all,all_macro,12472,0.01849374395126897,0.0054500801008575605,0.06702405476172149,0.0003670772493678114,81857,5902
impulse_noise,3,S,all,all_macro,6537,0.1336706615945538,0.06286853764167284,0.12823324011158127,0.04807692307692308,2993,84766
impulse_noise,3,M,all,all_macro,4455,0.23687179793062096,0.13642715067606487,0.14265042684905518,0.04197349042709867,1212,86547
impulse_noise,3,L,all,all_macro,972,0.3731011406582784,0.1531412613129192,0.1798851630684428,0.0297427652733119,1673,86086
impulse_noise,4,ALL,0,hat,1878,0.0076523595636791815,0.004865132872418912,0.051118210862619806,0.002129925452609159,21592,0
impulse_noise,4,ALL,1,person,22558,0.009879442969141582,0.0020435300631729287,0.0005319620533735261,0.0,1218,0
impulse_noise,4,ES,0,hat,213,5.5929951772803744e-05,2.2371980709121496e-05,0.004694835680751174,0.0,17864,3728
impulse_noise,4,ES,1,person,12259,0.009946605824347352,0.002063488507123453,0.0009788726649808304,0.0,1202,16
impulse_noise,4,S,0,hat,364,0.0067640613747036275,0.0034433239505517717,0.01098901098901099,0.0,1249,20343
impulse_noise,4,S,1,person,6173,0.0,0.0,0.0,0.0,11,1207
impulse_noise,4,M,0,hat,679,0.06143079524068924,0.03303599787102037,0.045655375552282766,0.0014727540500736377,387,21205
impulse_noise,4,M,1,person,3776,0.0,0.0,0.0,0.0,5,1213
impulse_noise,4,L,0,hat,622,0.024266987431349613,0.013002223963320672,0.09646302250803858,0.00482315112540193,2092,19500
impulse_noise,4,L,1,person,350,0.0,0.0,0.0,0.0,0,1218
impulse_noise,4,ALL,all,all_macro,24436,0.008765901266410381,0.00345433146779592,0.025825086457996665,0.0010649627263045794,22810,0
impulse_noise,4,ES,all,all_macro,12472,0.005001267888060078,0.0010429302439162872,0.002836854172866002,0.0,19066,3744
impulse_noise,4,S,all,all_macro,6537,0.0033820306873518138,0.0017216619752758859,0.005494505494505495,0.0,1260,21550
impulse_noise,4,M,all,all_macro,4455,0.03071539762034462,0.016517998935510186,0.022827687776141383,0.0007363770250368188,392,22418
